                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7288,                 3.5357,                 1.5583,                0.33569,                0.08718,                 0.1415,                0.07414,                 1.4259,                 3.0976,                 1.5421,             0.00023483,             0.00023483,             0.00023483
                      2,                 1.6649,                   2.79,                 1.4945,                0.25249,                0.25779,                0.17176,                0.09377,                 1.4972,                 2.7581,                 1.5907,             0.00046819,             0.00046819,             0.00046819
                      3,                 1.6857,                 2.6749,                 1.5126,                0.23177,                0.26373,                0.17257,                0.09421,                 1.5528,                 2.6279,                 1.6321,             0.00069689,             0.00069689,             0.00069689
                      4,                 1.6853,                 2.5819,                 1.5209,                0.23837,                0.29304,                0.18658,                0.10508,                 1.5746,                 2.5937,                 1.6367,               0.000693,               0.000693,               0.000693
                      5,                 1.6551,                 2.4649,                 1.4914,                 0.2484,                0.32955,                0.21085,                0.11584,                 1.5533,                 2.4425,                 1.6271,             0.00068601,             0.00068601,             0.00068601
                      6,                 1.6393,                 2.4145,                 1.5001,                0.28586,                0.33723,                0.22593,                0.12847,                 1.5008,                 2.3668,                 1.5937,             0.00067901,             0.00067901,             0.00067901
                      7,                 1.6425,                 2.3846,                 1.4866,                 0.2895,                0.33552,                0.23803,                0.13122,                 1.5279,                 2.3894,                  1.579,             0.00067201,             0.00067201,             0.00067201
                      8,                 1.6227,                 2.3184,                 1.4737,                0.26109,                0.33049,                0.19652,                0.11144,                 1.5883,                 2.5701,                 1.6272,             0.00066501,             0.00066501,             0.00066501
                      9,                 1.6188,                 2.3037,                 1.4729,                0.27823,                0.37418,                0.24206,                0.13769,                 1.4697,                 2.2247,                 1.5443,             0.00065801,             0.00065801,             0.00065801
                     10,                 1.6004,                  2.267,                 1.4652,                0.27662,                0.37155,                0.23756,                0.13354,                 1.5081,                  2.339,                 1.5804,             0.00065101,             0.00065101,             0.00065101
                     11,                 1.6076,                 2.2527,                 1.4694,                0.32948,                 0.3513,                0.26471,                0.15729,                 1.4681,                 2.3411,                 1.5823,             0.00064401,             0.00064401,             0.00064401
                     12,                 1.5877,                 2.2186,                 1.4546,                0.34201,                0.36438,                0.27582,                0.15979,                 1.4618,                 2.2608,                 1.5383,             0.00063702,             0.00063702,             0.00063702
                     13,                 1.5827,                 2.2031,                 1.4533,                0.29986,                0.38677,                0.25398,                0.14632,                 1.4717,                  2.394,                 1.5546,             0.00063002,             0.00063002,             0.00063002
                     14,                 1.5855,                 2.1787,                  1.455,                0.30802,                0.35633,                0.27287,                0.16414,                 1.4616,                 2.2539,                 1.5493,             0.00062302,             0.00062302,             0.00062302
                     15,                 1.5724,                 2.1815,                 1.4472,                0.31058,                0.39706,                0.29044,                0.17387,                  1.448,                 2.1716,                 1.5407,             0.00061602,             0.00061602,             0.00061602
